由于 因为
版本 版本号
文件夹 目录
神奇 奇妙
懊悔 后悔
报酬 酬劳
必定 必然
便宜 廉价
猜测 推测
才干 才能
惩罚 惩处
迟延 拖延
酬谢 答谢
绰号 外号
慈祥 慈爱
打搅 打扰
叮嘱 嘱咐
嫉妒 妒忌
对照 对比
发布 公布
繁殖 生殖
愤怒 愤慨
锋利 瑞丽
服侍 伺候
鼓励 鼓舞
故意 有益
宏伟 雄伟
环绕 围绕
荒芜 荒凉
回顾 回忆
机灵 灵巧
坚固 牢固
娇嫩 柔嫩
节制 克制
解救 拯救
谨慎 慎重
静止 精巧
敬仰 仰慕
境界 境地
居然 竟然
慷慨 大方
空暇 空闲
劳苦 劳累
立即 马上
藐视 轻视
模范 榜样
鸟瞰 俯视
凝视 注释
判断 推断
漂亮 美丽
品格 品行
平庸 平凡
奇妙 奇异
歧视 鄙视
启示 启发
清晰 清楚
亲密 亲热
轻蔑 轻视
惬意 满意
清纯 纯洁
驱赶 驱逐
商议 商量
稍微 略微
神秘 神奇
审阅 批阅
实用 有用
伺候 侍奉
素质 素养
率先 领先
宛如 犹如
唯独 只有
危急 危险
尾随 跟随
委托 托付
温和 温柔
袭击 突击
吓唬 恐吓
歇息 休息
欣赏 观赏
新鲜 新奇
兴旺 兴盛
兴许 后续
凶猛 凶狠
羞愧 惭愧
寻常 平常
依然 依旧
预计 估计
允许 同意
暂时 临时
赞赏 欣赏
责怪 责备
占领 占据
照射 照耀
照应 照顾
拯救 挽救
阻塞 堵塞
别具一格 独具匠心
风俗世情 风土人情
聚精会神 全神贯注
眉开眼笑 眉飞色舞
目不转睛 聚精会神
情不自禁 不由自主
以下 下面
得出以下结论 得到下面结论
得出下面结论 得到以下结论
解决问题 解决这个问题
解决了 攻克了
添加以下属性 增加下面属性
添加 增加
问题的原因 问题的解决办法
查阅相关文档 查阅相关资料
父级元素 父级的元素中
解决办法 解决的方法
以上测试 上面的测试
这个方法 这个方案
这种方法 这个方法
复制文件 拷贝文件
用户名和密码 用户名称与密码
复制到 拷贝到
敲代码 写程序
程序员 程序猿
0基础 初级
入门教程 新手教程
JDK安装 安装JDK
Eclipse安装 安装Eclipse
ADT安装 安装ADK
创建AVD AVD创建
设置环境变量 环境变量设置
步骤如下 过程如下
安装成功 成功安装
下载完成 完成下载
重启计算机 重启电脑
任意位置 任何位置
参数解释 参数说明
非常 很
降低 减少
根据 依据
准确度 精确度
站点 网站
违反规则 违反规定
出现故障 出现问题
发生故障 发生问题
最优秀 最棒
快速 高速
过春节 过年
近期 最近
通常会 一般会
通常是 一般是
普通情况 一般情况
所有 全部
载入 加载
执行 运行
累坏了 很累了
基本的 主要的
菜单栏 菜单条
窗口 窗体
位置栏 位置区域
滚动栏 滚动条
参数说明 参数描述
回想 回忆
惊讶 吃惊
括号中 括号里
比方 比如
例子 样例
代替 取代
究竟 到底
如何 怎样
以前 曾经
清楚 清晰
例如 比如
其中 当中
但是 可是
很多 许多
具体 详细
类似 相似
可以 能够
区别 差别
虽然 尽管
只 仅仅
不过 只是
重复 反复
相应 对应
完毕 完成
不管 无论
好处 长处
不对 不正确
几乎 差点儿
加入 添加
又一次 重新
最终 终于
就行 就可以
完善 完好
修改 改动
简体中文 中文简体
现在 如今
觉得 认为
优点 长处
立刻 立马
随意 任意
天壤之别 天差地别
数据传输 传输数据
大小限制 限制大小
发生错误 错误发生
打印信息 信息打印
总体 整体
完全 全然
目前 眼下
按照 依照
讲解 解说
分割 切割
如果 假设
双方 两方
也许 或许
明白 明确
无用的 没用的
包括 包含
必不可少 不可缺少
经常 常常
需要 须要
操心 担心
关键数据 重要数据
关键文件 重要文件
关键的数据 重要的作用
关键的文件 重要的文件
解决方式 解决方案
并且 而且
说到这 讲到这
绘图 画图
其他 其它
分别等于 各自等于
分别是 各自是
相同 同样
预定义 提前定义
能否 是否能
正则表达式 正則表達式
仔细 细致
文件中 文件里
引号 引號
开始 開始
财 財
比较 比較
采 採
参 參
惨 慘
册 冊
侧 側
测 測
访 訪
容易 easy
用户名和密码 username与password
用户名与密码 username和password
本地用户名 本地username
远程用户名 远程username
本地密码 本地password
远程密码 远程password
登陆密码 登录password
登录密码 登陆password
服务器 server
很简单 很easy
非常简单 非常easy
客户端 client
用户名 username
密码 password
按钮 button
工程 project
端口 port
关键字 keyword
另一 还有一
解决问题 解决这个问题
IE6 internet-explorer-6
详解 详细解释
显示进度 显示运行进度
不吝赐教 指教
搭建环境 搭建好开发环境
JDK安装 安装JDK
Eclipse安装 安装Eclipse
ADT安装 安装ADK
创建AVD AVD创建
重新启动 重启
基本语法 基本的语法
示例 演示例子
源代码 源码
单价 单位价格
垃圾站 垃圾网站
并非 并不是
展示量 展示次数
用法 使用方法
文件名 文件名称
pv数 点击数
PV数 点击数
大小写 大写和小写
第二种 另外一种
未定义 没有定义
开发人员 开发者
如下 例如以下
任何 不论什么
余额 剩余金额
互斥 相互排斥
初学者 刚开始学习的人
基本语法 主要的语法
常用 常常使用
同时 同一时候
不妨 最好还是
自动 自己主动
差不多 几乎相同
所示 所看到的
自定义 自己定义
共有 共同拥有
更多 许多其他
其实 事实上
之一 之中的一个
没必要 不是必需
抽空 抽出时间
简介 简单介绍
自定义 自己定义
描述 描写叙述
这种 这样的
每个 每一个
即可 就可以
